"","mouseID","sex","lon","lat","year","bodyweight","bodylength","BMI","HI","loc","batch","Ntrapped","observed_arg","chao1_arg","shannon_arg","simpson_eve_arg","simpson_dom_arg"
"713","SK_3179","M",13.97029,53.00394,2015,"17.1",79.5,1.10255108900725,0.6,"53.0039   13.9703","Batch_1",4,50,50,3.24222613555774,0.328880508412312,0.0608123603814379
"714","SK_2976","M",12.38361111,49.06638889,2015,"17.86",88.7,-2.17857222165023,0.421052632,"49.0664   12.3836","Batch_1",8,43,43,2.9537628123281,0.303795492104352,0.0765508855723907
"715","AA_0110","M",13.676085,52.497666,2016,"18.718",83,1.18316722082234,0.578947368,"52.4977   13.6761","Batch_1",9,40,40,2.98480534294278,0.319440857994745,0.0782617482213602
"716","AA_0502","M",11.6069,53.94049,2017,"13.849",77,-1.05031757657496,0.944444444444444,"53.9405   11.6069","Batch_1",4,64,64,3.38890282226522,0.267343780374808,0.0584453469540014
"717","AA_0283","F",13.5353,52.8969,2017,"16.45",77.02,1.5418973727497,0.083333333,"52.8969   13.5353","Batch_1",10,34,34,2.94968363636319,0.405454844395574,0.0725401733693121
"718","AA_0158","F",13.81,51.8978,2016,"20.54",90,-0.0696005155474845,0.2,"51.8978   13.81","Batch_1",12,42,42,3.07002874548362,0.338820255374342,0.070271843055009
"719","SK_3171","F",13.4636,52.9156,2015,"9.92",62.3,1.47769466980167,0.08,"52.9156   13.4636","Batch_1",2,16,16,2.43802050845967,0.611575114642088,0.102195132705125
"720","SK_3200","M",13.6025,52.2225,2015,"13.34",71.7,0.768720852390766,0,"52.2225   13.6025","Batch_1",8,145,145,3.80470796267144,0.150973172442844,0.0456806438690214
"721","SK_3031","F",12.13527778,48.89361111,2015,"20.26",78.8,4.57002786264424,0.68,"48.8936   12.1353","Batch_1",3,57,57,3.26168855570116,0.289513315933041,0.0605977641911999
"722","AA_0573","M",14.0736,52.9308,2018,"13.47",76.37,-1.15258848030167,0.9473684211,"52.9308   14.0736","Batch_1",2,51,51,3.15238024307802,0.264874086603257,0.0740270344626977
"723","AA_0594","M",14.0806,53.0336,2018,"18.08",79.3,2.17040159576067,0.8333333333,"53.0336   14.0806","Batch_1",9,29,29,2.77026558232714,0.386245349391672,0.0892768254038508
"724","AA_0172","F",13.847336,51.853542,2016,"19.85",89,-0.320347981780365,0.56,"51.8535   13.8473","Batch_1",13,46,46,3.15448161581301,0.317728115738546,0.0684205437225815
"725","AA_0648","F",13.2144,53.1514,2018,"23.15",84,5.17591468705522,0.8571429,"53.1514   13.2144","Batch_1",14,51,51,3.21158448382539,0.320660452801781,0.0611483048998737
"726","AA_0572","F",13.3047,52.9936,2018,"21.52",81.73,4.54301793870658,0.04,"52.9936   13.3047","Batch_1",3,30,30,2.86184670064198,0.385978222248703,0.0863606582234973
"727","SK_2951","M",12.2875,49.60444444,2015,"11.88",74,-1.7015599752736,0.05,"49.6044   12.2875","Batch_1",4,26,26,2.73209585173247,0.462312772276337,0.0831937613840116
"728","AA_0157","M",13.81,51.8978,2016,"11.63",69,0.244702693561986,0.157894737,"51.8978   13.81","Batch_1",12,54,54,3.12955243836152,0.237219602282038,0.0780648746577917
"729","AA_0489","F",11.4812,53.84506,2017,"20.85",84,2.87591468705522,0.91304347826087,"53.8451   11.4812","Batch_1",3,54,54,3.16561480209348,0.260889586354716,0.0709822066003814
"730","AA_0318","F",14.1161,52.7914,2017,"16.05",82.77,-1.38380469641122,0.826086957,"52.7914   14.1161","Batch_1",4,33,33,2.76905859059111,0.301992239638967,0.100343738432675
"731","AA_0260","F",13.6025,52.2225,2017,"17.82",83.01,0.280774695484666,0,"52.2225   13.6025","Batch_1",11,80,80,3.57130442151384,0.247499953059466,0.0505050600837757
"732","AA_0241","F",14.0103,52.6242,2017,"13.83",74.78,-0.094176951611955,0.84,"52.6242   14.0103","Batch_1",1,150,150,4.15056285538796,0.203173037580634,0.0328127528438454
"733","AA_0060","F",14.1158,52.8431,2016,"26.264",94,3.89738934938404,0.84,"52.8431   14.1158","Batch_1",3,16,16,2.34400828649612,0.520262591094276,0.120131643269878
"734","SK_3149","F",13.6506,53.2108,2015,"7.83",62.9,-0.875856850458597,0.8,"53.2108   13.6506","Batch_1",2,45,45,3.10447778839502,0.330454754265661,0.0672473975192295
"735","SK_3030","F",12.13527778,48.89361111,2015,"16.35",84.4,-1.79978632645163,0.64,"48.8936   12.1353","Batch_1",3,51,51,3.10852654363651,0.26564903433791,0.0738110838088475
"736","AA_0406","F",13.4864,53.1275,2017,"13.4",73.71,-0.0541767404811357,0.92,"53.1275   13.4864","Batch_1",9,18,18,2.47726155376233,0.531698919893328,0.10448686931074
"737","AA_0323","F",13.4622,53.1119,2017,"8.1",69.25,-3.3951104398798,0.826086957,"53.1119   13.4622","Batch_1",3,57,57,3.25997732418628,0.246968388555695,0.0710368632670832
"738","AA_0611","F",14.0806,53.0336,2018,"6.65",62,-1.66052957006819,0.72,"53.0336   14.0806","Batch_1",9,42,42,3.14846860643635,0.38005558266345,0.062647478146921
"739","AA_0178","F",13.7542,53.1314,2016,"11.955",74,-1.6265599752736,0.84,"53.1314   13.7542","Batch_1",2,55,55,3.24065429194559,0.269304193225935,0.0675140552548487
"740","AA_0553","M",14.0908,52.8328,2018,"13.43",77,-1.46931757657496,0.8947368421,"52.8328   14.0908","Batch_1",5,142,142,4.43878105460204,0.328735054343376,0.0214222773874637
"741","SK_3119","F",13.8756,52.6053,2015,"16.13",81.7,-0.833804485280411,0.739130435,"52.6053   13.8756","Batch_1",15,40,40,2.84199296594906,0.277463362742534,0.0901019859086699
"742","SK_3104","M",14.1206,52.7547,2015,"20.46",84,2.48591468705522,0.85,"52.7547   14.1206","Batch_1",2,56,56,3.30664917125423,0.30734491413701,0.0581013123554809
"743","AA_0136","M",13.7875,52.7544,2016,"6.063",59,-0.92977196876684,0.1,"52.7544   13.7875","Batch_1",2,48,48,3.04294363608114,0.279599051251713,0.0745114593202887
